strain	Sample	idnum	specnum	date	Isolate_from	species	ST	cluster
ERR2303555	KPN168	NCS-0135	OM2014-0661	2014-02-20	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST1822	37
ERR2303556	KPN169	NCS-0134	OM2014-0662	2014-02-20	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST480-2LV	38
ERR2303557	KPN170	NCS-0136	OM2014-0663	2014-02-20	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST1191	39
ERR2303558	KPN171	NCS-0138	OM2014-0667	2014-02-20	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST1822	37
ERR2303559	KPN172	NCS-0144	OM2014-0676	2014-02-21	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST1191	36
ERR2303560	KPN173	NCS-0144	OM2014-0676	2014-02-21	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST1822	40
ERR2303561	KPN174	NCS-0143	OM2014-0706	2014-02-24	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST480-2LV	38
ERR2303562	KPN175	NCS-0136	OM2014-0707	2014-02-24	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST334	41
ERR2303563	KPN176	NCS-0140	OM2014-0708	2014-02-24	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST477	42
ERR2303564	KPN177	NCS-0138	OM2014-0710	2014-02-24	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST334	41
ERR2303565	KPN178	NCS-0146	OM2014-0711	2014-02-24	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST334	41
ERR2303566	KPN179	NCS-0146	OM2014-0711	2014-02-24	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST1031	43
ERR2303567	KPN180	NCS-0146	OM2014-0711	2014-02-24	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST1031	43
ERR2303568	KPN181	NCSE-06	OM2014-0717	2014-02-24	environmental	Klebsiella quasipneumoniae subsp. similipneumoniae	ST334	44
ERR2303569	KPN182	NCSE-06	OM2014-0717	2014-02-24	environmental	Klebsiella quasipneumoniae subsp. similipneumoniae	ST1031	43
ERR2303570	KPN183	NCS-0143	OM2014-0745	2014-02-25	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST334	41
ERR2303571	KPN184	NCS-0148	OM2014-0747	2014-02-25	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST334	41
ERR2303572	KPN185	NCS-0142	OM2014-0775	2014-02-27	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST334	41
ERR2303573	KPN186	NCS-0146	OM2014-0776	2014-02-27	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST334	41
ERR2303574	KPN187	NCS-0146	OM2014-0776	2014-02-27	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST334	44
ERR2303575	KPN188	NCS-0140	OM2014-0779	2014-02-27	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST334	41
ERR2303576	KPN189	NCS-0153	OM2014-0788	2014-02-27	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST334	41
ERR2303577	KPN190	NCS-0154	OM2014-0794	2014-02-28	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST334	44
ERR2303578	KPN191	NCSE-05	OM2014-0827	2014-03-03	environmental	Klebsiella quasipneumoniae subsp. similipneumoniae	ST1308	45
ERR2303579	KPN192	NCSE-05	OM2014-0827	2014-03-03	environmental	Klebsiella quasipneumoniae subsp. similipneumoniae	ST334	44
ERR2303580	KPN193	NCSE-06	OM2014-0828	2014-03-03	environmental	Klebsiella quasipneumoniae subsp. similipneumoniae	ST334	41
